rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
110,insurance-specialty,industry,Insurance - Specialty,Financial Services,18 cons,18,1.0,0,7.3,9.6,-2.1,1.1,9.9,-3.7,-8.7,-18.7,-5.45,-3.45
111,oil-gas-e-p,industry,Oil & Gas E&P,Energy,50 cons,50,1.0,0,-5.3,-15.9,19.4,18.2,-2.6,-29.2,12.9,-1.6,-5.75,-3.66
112,internet-retail,industry,Internet Retail,Consumer Cyclical,17 cons,17,1.0,1,5.1,13.6,-4.9,-1.1,7.7,0.3,-11.5,-21.0,-5.99,3.51
113,restaurants,industry,Restaurants,Consumer Cyclical,36 cons,36,1.0,1,3.6,6.0,4.6,-4.7,6.2,-7.3,-1.9,-24.6,-6.44,-3.46
114,medical-instruments-supplies,industry,Medical Instruments & Supplies,Healthcare,38 cons,38,1.0,0,7.3,6.1,-3.8,3.1,9.9,-7.2,-10.3,-16.7,-6.61,-0.67
115,waste-management,industry,Waste Management,Industrials,11 cons,11,1.0,0,9.0,4.3,-0.1,-1.6,11.6,-9.0,-6.6,-21.4,-6.65,-8.48
116,real-estate-services,industry,Real Estate Services,Real Estate,29 cons,29,1.0,0,8.9,6.9,-12.1,10.4,11.5,-6.4,-18.7,-9.5,-7.1,-4.06
117,farm-products,industry,Farm Products,Consumer Defensive,12 cons,12,1.0,1,-5.7,-8.0,7.0,11.9,-3.1,-21.3,0.5,-8.0,-8.46,-10.75
118,coking-coal,industry,Coking Coal,Basic Materials,4 cons,4,1.0,0,-15.9,-10.6,-11.0,52.4,-13.3,-23.9,-17.5,32.6,-8.6,-8.53
119,confectioners,industry,Confectioners,Consumer Defensive,3 cons,3,1.0,0,-4.9,-4.5,6.7,4.1,-2.3,-17.8,0.2,-15.8,-8.91,-6.38
120,auto-manufacturers,industry,Auto Manufacturers,Consumer Cyclical,7 cons,7,1.0,0,-8.4,1.6,-10.2,22.9,-5.8,-11.7,-16.8,3.0,-9.09,-9.4
121,utilities-independent-power-producers,industry,Utilities - Independent Power Producers,Utilities,8 cons,8,1.0,0,-4.4,5.6,-8.3,9.7,-1.8,-7.7,-14.8,-10.1,-9.15,-9.67
122,grocery-stores,industry,Grocery Stores,Consumer Defensive,9 cons,9,1.0,0,-2.5,3.0,6.5,-10.5,0.1,-10.3,-0.1,-30.3,-9.16,-2.06
123,asset-management,industry,Asset Management,Financial Services,50 cons,50,1.0,1,-2.9,8.9,-7.3,1.0,-0.3,-4.4,-13.8,-18.9,-9.29,-7.7
124,airports-air-services,industry,Airports & Air Services,Industrials,6 cons,6,1.0,0,-1.8,4.2,-2.6,-0.2,0.8,-9.1,-9.2,-20.1,-9.33,-11.61
125,oil-gas-integrated,industry,Oil & Gas Integrated,Energy,5 cons,5,1.0,0,-5.2,-16.0,7.4,18.4,-2.6,-29.3,0.8,-1.5,-9.35,-6.18
126,pharmaceutical-retailers,industry,Pharmaceutical Retailers,Healthcare,1 cons,1,1.0,0,0.0,0.0,0.0,0.0,2.6,-13.3,-6.5,-19.9,-9.4,-9.4
127,personal-services,industry,Personal Services,Consumer Cyclical,9 cons,9,1.0,0,0.9,7.9,0.3,-14.1,3.6,-5.4,-6.2,-34.0,-9.56,-13.55
128,agricultural-inputs,industry,Agricultural Inputs,Basic Materials,8 cons,8,1.0,0,-4.1,-10.5,14.6,-4.0,-1.5,-23.8,8.1,-23.8,-9.77,-7.34
129,packaged-foods,industry,Packaged Foods,Consumer Defensive,41 cons,41,1.0,0,3.7,1.3,-1.5,-7.5,6.3,-12.0,-8.0,-27.4,-10.23,-7.38
130,broadcasting,industry,Broadcasting,Communication Services,10 cons,10,1.0,2,27.5,10.8,-19.5,-20.0,30.1,-2.5,-26.0,-39.9,-10.5,-24.74
131,thermal-coal,industry,Thermal Coal,Energy,5 cons,5,1.0,0,-4.4,-18.2,-3.7,30.4,-1.8,-31.5,-10.2,10.5,-10.76,-12.37
132,shell-companies,industry,Shell Companies,Financial Services,50 cons,50,1.0,0,1.5,3.0,-0.2,-14.4,4.2,-10.3,-6.7,-34.2,-11.11,-6.05
133,home-improvement-retail,industry,Home Improvement Retail,Consumer Cyclical,5 cons,5,1.0,0,7.4,1.6,-7.3,-8.1,10.0,-11.7,-13.8,-27.9,-11.25,-7.09
134,beverages-brewers,industry,Beverages - Brewers,Consumer Defensive,3 cons,3,1.0,0,1.6,-3.5,-0.8,-6.5,4.2,-16.8,-7.3,-26.4,-11.68,-13.42
135,mortgage-finance,industry,Mortgage Finance,Financial Services,10 cons,10,1.0,0,0.4,14.7,-24.5,-5.6,3.0,1.4,-31.0,-25.5,-13.38,-12.89
136,medical-devices,industry,Medical Devices,Healthcare,50 cons,50,1.0,2,5.9,-2.5,-12.3,-8.5,8.5,-15.8,-18.8,-28.4,-14.34,-1.53
137,uranium,industry,Uranium,Energy,3 cons,3,1.0,0,-12.1,-6.1,-24.7,29.5,-9.5,-19.4,-31.2,9.7,-15.14,-10.37
138,software-application,industry,Software - Application,Technology,50 cons,50,1.0,0,0.9,8.5,-17.4,-17.7,3.5,-4.8,-24.0,-37.6,-15.45,-23.19
139,insurance-brokers,industry,Insurance Brokers,Financial Services,16 cons,16,1.0,0,7.5,3.1,-12.7,-23.6,10.2,-10.2,-19.2,-43.5,-15.49,-13.4
140,information-technology-services,industry,Information Technology Services,Technology,42 cons,42,1.0,10,-7.6,-0.0,-17.5,-5.9,-5.0,-13.3,-24.0,-25.8,-17.36,-23.66
141,paper-paper-products,industry,Paper & Paper Products,Basic Materials,2 cons,2,1.0,0,1.7,1.5,-16.1,-22.4,4.3,-11.8,-22.6,-42.2,-17.92,-15.7
142,consulting-services,industry,Consulting Services,Industrials,12 cons,12,1.0,1,-3.2,-7.0,-13.3,-18.1,-0.6,-20.3,-19.8,-38.0,-19.76,-16.12
143,financial-data-stock-exchanges,industry,Financial Data & Stock Exchanges,Financial Services,14 cons,14,1.0,0,-11.1,-8.1,-18.4,-19.4,-8.5,-21.4,-24.9,-39.2,-23.45,-19.37
144,consumer-electronics,industry,Consumer Electronics,Technology,5 cons,5,1.0,0,-15.7,-13.8,-27.2,-10.5,-13.1,-27.1,-33.7,-30.3,-26.91,-12.53
